Actual,Predicted,Correct
setosa,setosa,True
virginica,virginica,True
versicolor,versicolor,True
versicolor,versicolor,True
setosa,setosa,True
versicolor,versicolor,True
setosa,setosa,True
setosa,setosa,True
virginica,virginica,True
versicolor,versicolor,True
virginica,virginica,True
virginica,virginica,True
virginica,virginica,True
versicolor,versicolor,True
setosa,setosa,True
setosa,setosa,True
setosa,setosa,True
versicolor,versicolor,True
versicolor,versicolor,True
virginica,virginica,True
setosa,setosa,True
virginica,virginica,True
versicolor,versicolor,True
virginica,virginica,True
virginica,virginica,True
versicolor,virginica,False
versicolor,versicolor,True
setosa,setosa,True
virginica,virginica,True
setosa,setosa,True
