Actual,Predicted,Correct
setosa,setosa,True
virginica,versicolor,False
versicolor,setosa,False
versicolor,setosa,False
setosa,setosa,True
versicolor,versicolor,True
setosa,setosa,True
setosa,setosa,True
virginica,versicolor,False
versicolor,versicolor,True
virginica,versicolor,False
virginica,versicolor,False
virginica,virginica,True
versicolor,versicolor,True
setosa,setosa,True
setosa,setosa,True
setosa,setosa,True
versicolor,versicolor,True
versicolor,versicolor,True
virginica,versicolor,False
setosa,setosa,True
virginica,virginica,True
versicolor,versicolor,True
virginica,versicolor,False
virginica,versicolor,False
versicolor,versicolor,True
versicolor,versicolor,True
setosa,setosa,True
virginica,versicolor,False
setosa,setosa,True
